SampleNo,Type,Mean_DeltaE,15L,15a,15b,25L,25a,25b,45L,45a,45b,75L,75a,75b,110L,110a,110b,726C,718Y,783S,772S,755C,744S,717C,980,910,135,828,835,831,826,836,838,815,856,892,895,855,851,858,839,896,862,865,891,898,845,832,816,818,233,940,424,356,384,306,318,331,198,154,290,522,322,570,410,550,530,371,482,343,030,960,580,670,632,110,821,190
HONDA R532M CK001,REAL,0.0,109.9,8.01,-3.37,91.89,7.89,-3.42,60.05,8.38,-2.82,39.42,11.0,-2.71,31.21,12.94,-2.9,28.36696888,0.0,0.0,26.19155523,0.0,26.19155523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.150013729,0.0,0.0,0.0,0.0,0.210581656,0.0,0.567963023,0.0,0.0,0.108878882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.152405419,0.0,0.0,0.0,0.0,0.0,7.060077961,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HONDA R532M CK001,PRED,7.945000171661377,98.0,7.760000228881836,-2.2699999809265137,89.08999633789062,7.119999885559082,-2.2300000190734863,67.62999725341797,6.179999828338623,-2.25,46.939998626708984,6.769999980926514,-2.7799999713897705,37.31999969482422,7.639999866485596,-3.2899999618530273,28.36696888,0.0,0.0,26.19155523,0.0,26.19155523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.150013729,0.0,0.0,0.0,0.0,0.210581656,0.0,0.567963023,0.0,0.0,0.108878882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.152405419,0.0,0.0,0.0,0.0,0.0,7.060077961,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUBARU C2P CK003,REAL,0.0,67.92,51.74,2.92,48.93,43.43,3.76,28.51,34.84,6.79,20.6,32.07,9.1,17.89,30.92,9.57,0.0,0.0,0.0,4.69892123,0.0,27.3598478,9.700998667,7.15881732,0.468333843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.571733712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.46896275,0.0,0.0,33.57238467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUBARU C2P CK003,PRED,4.321000099182129,64.8499984741211,46.36000061035156,6.880000114440918,47.349998474121094,40.209999084472656,6.789999961853027,27.110000610351562,32.25,7.820000171661377,19.280000686645508,29.270000457763672,9.710000038146973,16.559999465942383,27.979999542236328,10.149999618530273,0.0,0.0,0.0,4.69892123,0.0,27.3598478,9.700998667,7.15881732,0.468333843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.571733712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.46896275,0.0,0.0,33.57238467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOYOTA 784 CK001,REAL,0.0,93.5,-14.61,-16.44,72.19,-12.57,-14.54,41.11,-8.97,-11.23,22.88,-6.94,-9.9,15.49,-5.92,-9.33,32.32529262,0.0,0.0,11.99155887,0.0,0.0,0.0,15.96053782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.88448311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.894519151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.23881266,0.0,0.0,0.0,0.0,1.288826125,14.41596964,0.0,0.0,0.0,0.0,0.0,0.0
TOYOTA 784 CK001,PRED,3.0299999713897705,88.61000061035156,-12.489999771118164,-14.229999542236328,70.33000183105469,-10.819999694824219,-12.0,41.38999938964844,-7.650000095367432,-9.949999809265137,23.5,-5.199999809265137,-9.6899995803833,16.6299991607666,-4.239999771118164,-9.649999618530273,32.32529262,0.0,0.0,11.99155887,0.0,0.0,0.0,15.96053782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.88448311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.894519151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.23881266,0.0,0.0,0.0,0.0,1.288826125,14.41596964,0.0,0.0,0.0,0.0,0.0,0.0
SUBARU T19 CK000,REAL,0.0,84.82,-1.17,21.56,84.49,-1.13,21.54,84.66,-1.08,21.54,84.96,-0.97,19.85,82.07,-0.92,18.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.113361627,64.46940372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.33874938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.812068566,0.0,2.266416707,0.0,0.0,0.0,0.0
SUBARU T19 CK000,PRED,2.7200000286102295,83.52999877929688,1.75,21.040000915527344,83.55999755859375,1.4299999475479126,21.200000762939453,83.69000244140625,1.2400000095367432,20.959999084472656,84.08999633789062,1.3300000429153442,19.020000457763672,81.13999938964844,1.2799999713897705,18.110000610351562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.113361627,64.46940372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.33874938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.812068566,0.0,2.266416707,0.0,0.0,0.0,0.0
MAZDA 32S CK005,REAL,0.0,56.58,2.5,2.28,43.81,2.19,0.08,24.96,1.98,-4.0,15.68,2.23,-7.68,12.11,2.22,-8.53,11.09082452,0.0,0.0,2.445990213,0.0,0.0,0.0,65.34680755,0.0,0.0,0.0,0.0,0.0,4.0384636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.550956423,0.0,0.0,4.185929474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.31943015,0.0,0.0,0.0,2.021598071,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAZDA 32S CK005,PRED,2.443000078201294,54.459999084472656,4.059999942779541,1.2599999904632568,44.279998779296875,3.240000009536743,-0.46000000834465027,27.719999313354492,2.4000000953674316,-3.430000066757202,17.809999465942383,2.4100000858306885,-5.960000038146973,13.819999694824219,2.200000047683716,-6.679999828338623,11.09082452,0.0,0.0,2.445990213,0.0,0.0,0.0,65.34680755,0.0,0.0,0.0,0.0,0.0,4.0384636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.550956423,0.0,0.0,4.185929474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.31943015,0.0,0.0,0.0,2.021598071,0.0,0.0,0.0,0.0,0.0,0.0,0.0
