SampleNo,Type,Mean_DeltaE,15L,15a,15b,25L,25a,25b,45L,45a,45b,75L,75a,75b,110L,110a,110b,726C,718Y,783S,772S,755C,744S,717C,980,910,135,828,835,831,826,836,838,815,856,892,895,855,851,858,839,896,862,865,891,898,845,832,816,818,233,940,424,356,384,306,318,331,198,154,290,522,322,570,410,550,530,371,482,343,030,960,580,670,632,110,821,190
KAUDI/VOLKS WAGEN LY3D CK103,REAL,0.0,29.81,59.01,42.32,29.45,58.85,42.33,29.2,58.87,42.2,29.6,58.67,40.51,28.64,57.05,39.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82282053,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,18.47455892,5.983644298,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,74.71897625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
KAUDI/VOLKS WAGEN LY3D CK103,PRED,9.458999633789062,30.899999618530273,52.959999084472656,34.29999923706055,29.1200008392334,52.720001220703125,35.459999084472656,28.040000915527344,52.310001373291016,35.560001373291016,28.56999969482422,52.0099983215332,33.97999954223633,27.440000534057617,50.630001068115234,32.650001525878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82282053,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,18.47455892,5.983644298,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,74.71897625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
KHONDA R82P CK002,REAL,0.0,36.9,59.44,29.1,25.52,47.32,25.83,17.3,36.97,21.72,16.07,34.37,20.2,15.2,33.06,19.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.723093327,0.0,0.0,0,0.0,19.8208339,7.097223047,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,1.055783416,0.0,0.0,21.21391009,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,42.41952346,0.0,2.669632758,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
KHONDA R82P CK002,PRED,5.640999794006348,35.61000061035156,54.619998931884766,25.670000076293945,25.469999313354492,44.52000045776367,22.479999542236328,16.59000015258789,33.40999984741211,18.290000915527344,15.109999656677246,29.540000915527344,16.239999771118164,14.109999656677246,28.06999969482422,15.170000076293945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.723093327,0.0,0.0,0,0.0,19.8208339,7.097223047,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,1.055783416,0.0,0.0,21.21391009,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,42.41952346,0.0,2.669632758,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
KSUBARU 235-A CK001,REAL,0.0,61.82,60.94,21.58,44.52,50.73,18.58,23.5,36.95,15.63,15.25,31.21,15.12,12.71,29.19,13.74,0.0,0.0,0.0,0.0,0.0,6.038604269,0.0,3.18073017,0.0,0.0,0,0.0,41.53748309,13.83952984,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.660930944,0.0,0.0,0.0,0.0,0.0,19.68213474,0.0,0,0.0,0.0,0.0,0,14.26503195,0.0,0.0,0.0,0.0,0.0,0.795554993,0.0,0.0,0.0,0.0,0.0,0,0.0
KSUBARU 235-A CK001,PRED,4.0370001792907715,61.869998931884766,56.7400016784668,18.56999969482422,44.970001220703125,46.58000183105469,16.389999389648438,24.56999969482422,33.75,14.34000015258789,16.399999618530273,28.290000915527344,13.800000190734863,13.529999732971191,26.1299991607666,12.829999923706055,0.0,0.0,0.0,0.0,0.0,6.038604269,0.0,3.18073017,0.0,0.0,0,0.0,41.53748309,13.83952984,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.660930944,0.0,0.0,0.0,0.0,0.0,19.68213474,0.0,0,0.0,0.0,0.0,0,14.26503195,0.0,0.0,0.0,0.0,0.0,0.795554993,0.0,0.0,0.0,0.0,0.0,0,0.0
KDAIHATSU R36 CK003,REAL,0.0,47.65,49.29,35.19,37.59,43.07,33.45,22.06,31.61,26.1,12.93,23.47,15.77,9.98,20.44,11.58,0.0,13.97642905,0.0,0.0,0.0,0.0,0.0,0.968579278,0.0,0.0,0,15.37443407,0.0,0.0,0,0.0,0,0.0,0.0,10.19928075,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,17.31763366,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.12920567,0.0,0,8.487550373,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.54688715,0.0,0.0,0.0,0.0,0.0,0,0.0
KDAIHATSU R36 CK003,PRED,7.048999786376953,52.56999969482422,47.75,33.0,39.9900016784668,41.540000915527344,29.809999465942383,24.59000015258789,33.09000015258789,24.649999618530273,17.790000915527344,29.170000076293945,21.75,15.300000190734863,27.479999542236328,19.959999084472656,0.0,13.97642905,0.0,0.0,0.0,0.0,0.0,0.968579278,0.0,0.0,0,15.37443407,0.0,0.0,0,0.0,0,0.0,0.0,10.19928075,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,17.31763366,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.12920567,0.0,0,8.487550373,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.54688715,0.0,0.0,0.0,0.0,0.0,0,0.0
SROVER FUN CK001,REAL,0.0,74.19,20.78,85.43,73.75,21.01,86.03,73.67,21.31,86.54,73.87,20.92,83.81,71.49,19.94,80.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.959641256,3.076233184,26.81350567,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,69.15061989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
SROVER FUN CK001,PRED,3.6029999256134033,74.52999877929688,24.5,83.98999786376953,74.31999969482422,24.139999389648438,84.16999816894531,74.88999938964844,23.649999618530273,83.98999786376953,74.6500015258789,23.1299991607666,81.37000274658203,72.0,21.940000534057617,78.31999969482422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.959641256,3.076233184,26.81350567,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,69.15061989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
