SampleNo,15L,15a,15b,25L,25a,25b,45L,45a,45b,75L,75a,75b,110L,110a,110b,Delta_E
KAUDI/VOLKS WAGEN LY3D CK103,30.6,53.35,32.42,29.55,53.86,34.83,28.22,54.24,35.95,27.7,54.19,34.73,26.43,52.8,33.42,8.657
KHONDA R82P CK002,34.78,54.34,24.22,24.51,45.19,21.82,16.23,35.68,18.94,14.89,32.87,17.7,14.11,31.64,16.87,4.262
KSUBARU 235-A CK001,59.89,58.98,22.54,43.15,48.82,19.95,22.68,35.22,16.46,13.75,29.13,14.66,10.86,26.73,13.14,2.694
KDAIHATSU R36 CK003,50.32,52.45,37.92,39.8,46.39,34.99,24.44,37.21,28.33,16.28,32.2,22.89,13.39,29.89,19.8,8.089
SROVER FUN CK001,73.44,20.97,83.43,74.34,20.88,84.2,73.8,20.97,84.68,73.25,20.52,82.36,70.57,19.69,79.33,1.881
MMCC SMART EA6 CK001,27.0,19.31,-56.95,20.89,15.24,-47.07,12.94,12.36,-36.02,9.95,12.1,-30.46,8.58,11.77,-27.48,2.171
MOTOYOTA 9AD CK002,71.84,5.62,-43.09,60.52,5.89,-39.58,39.73,6.08,-31.84,23.8,7.65,-26.58,16.88,8.42,-24.22,1.955
MOVOLVO 420 CK001,46.63,7.52,-11.66,33.11,7.03,-9.72,17.9,6.91,-6.49,11.67,7.83,-4.21,9.39,7.52,-3.24,3.015
SIMITSUOKA 111PU CK001,20.23,29.12,-10.93,12.67,21.74,-7.16,5.36,13.24,-3.38,4.19,9.34,-1.6,3.76,7.54,-0.92,3.632
STOYOTA 580 CK101,109.87,10.73,72.7,82.65,8.91,59.08,46.55,5.43,39.72,29.68,3.63,30.97,24.06,3.52,28.37,2.916
GRTOYOTA 3K7 CK003,83.67,4.57,8.46,73.63,4.18,7.04,52.69,3.45,3.51,34.91,3.16,0.12,26.35,3.03,-1.43,1.106
MONISSAN LV1 CK081,53.16,16.1,5.35,39.65,12.99,5.03,19.73,8.22,3.86,8.34,5.24,2.13,4.79,3.65,1.19,1.689
MTOYOTA 8L6 CK007,84.39,-5.93,-25.26,71.1,-5.07,-25.04,49.36,-3.25,-25.08,34.78,-0.93,-27.66,28.58,0.33,-29.4,3.292
MTOYOTA 8M0 CK018,68.29,-3.12,-23.94,51.08,-2.45,-20.21,28.03,-0.75,-15.4,15.49,1.46,-13.35,10.68,2.19,-12.35,4.867
GRJAGUAR LKS CK000,46.3,1.91,8.32,40.51,1.6,6.86,27.86,1.22,2.94,17.7,0.98,-1.8,12.87,0.59,-4.02,1.524
MOTOYOTA 924 CK007,83.73,-2.76,-12.47,66.7,-2.3,-11.27,39.26,-1.51,-8.65,21.23,-0.25,-6.95,14.05,0.43,-6.32,1.231
SIMITSUBISHI X24 CK101,11.13,1.27,-3.71,5.06,0.18,-1.28,1.74,-0.19,-0.22,1.95,0.17,-0.24,1.84,0.23,-0.44,2.663
SIHONDA PB81P CK105,12.88,2.58,-2.45,5.59,0.87,-0.86,1.97,-0.22,-0.14,2.45,0.11,-0.24,2.37,0.27,-0.4,1.579
SAUDI/VOLKS WAGEN LD1B CK104,88.02,-1.46,61.85,89.43,-1.59,62.29,89.88,-1.65,62.06,90.24,-2.07,59.12,87.22,-2.32,56.35,1.672
GRSUZUKI ZKS-N CK000,60.45,-1.67,12.27,59.98,-1.89,12.25,59.23,-1.94,12.32,59.59,-1.75,10.53,57.51,-1.65,9.85,0.886
GRTOYOTA UCAB7 CK001,49.44,-0.2,6.41,39.17,-0.57,4.9,25.6,-1.06,2.93,18.56,-0.93,0.73,15.75,-0.83,-0.22,2.291
YTOYOTA 6S3 CK001,31.37,-29.33,-1.45,19.96,-22.47,-0.47,8.11,-12.13,-1.72,4.65,-5.98,-2.67,3.52,-3.5,-2.65,2.701
MMITSUBISHI F02 CK001,95.2,-29.92,-4.99,70.79,-23.8,-4.93,38.58,-14.87,-5.96,21.94,-9.68,-7.59,15.9,-7.88,-8.04,2.198
YROVER HAK CK004,33.29,-5.9,4.09,32.93,-6.5,3.99,32.29,-6.99,3.57,32.67,-6.53,1.81,31.44,-6.19,1.43,0.768
STOYOTA 569 CK001,93.83,1.81,35.63,75.03,-0.59,31.58,55.19,-4.17,28.98,47.6,-6.1,28.84,44.26,-6.69,29.37,1.918
YTOYOTA 6N8 CK000,73.98,-20.87,3.03,60.24,-18.35,1.68,37.02,-13.7,-0.12,20.71,-10.03,-1.75,13.84,-8.09,-2.44,1.649
YSUZUKI ZPV CK102,109.25,-27.21,52.69,82.96,-25.54,43.34,53.87,-26.28,33.37,43.22,-28.95,30.42,40.1,-30.33,30.73,3.969
SUZUKI ZY4 CK021-22thROW,61.57,-6.8,-6.6,48.34,-5.89,-5.51,26.27,-3.66,-3.94,11.82,-1.15,-3.15,6.55,-0.1,-2.64,1.966
MONISSAN LV1 CK081,53.16,16.1,5.35,39.65,12.99,5.03,19.73,8.22,3.86,8.34,5.24,2.13,4.79,3.65,1.19,1.689
