SampleNo,CR,15ML,15L,25L,45L,75L,110L,15Ma,15a,25a,45a,75a,110a,15Mb,15b,25b,45b,75b,110b,15Mc,15c,25c,45c,75c,110c,15Mh,15h,25h,45h,75h,110h,15Si,45Si,75Si,15Sa,45Sa,75Sa,G,726C,718Y,783S,772S,755C,744S,717C,980,910,135,828,835,831,826,836,838,815,856,892,895,855,851,858,839,896,862,865,891,898,845,832,816,818,233,940,424,356,384,306,318,331,198,154,290,522,322,570,410,550,530,371,482,343,030,960,580,670,632,110,821,190,020,010
ALFA-ROMEO 130 CK004,0.76011,29.4,28.89,27.57,26.4,26.73,25.83,46.71,47.21,48.44,49.72,49.96,48.84,24.07,25.42,31.09,35.69,35.16,34.36,52.55,53.61,57.56,61.21,61.09,59.71,27.26,28.3,32.7,35.67,35.14,35.13,2.3,0.58,1.08,18.76,0.11,0.21,0.71,0,0,0,0,0,0,0,7.613478637,0.957842388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.9236166,0,0,0,0,0,0,0,0,0,0,0,0,0,62.50506237,0,0,0,0,0,0,0,0,0,0,0,0
ALFA-ROMEO 506 CK000,0.910138,18.16,16.12,15.29,14.81,16.08,15.7,-10.87,-10.68,-10.61,-10.49,-9.53,-9.35,-12.15,-13.02,-13.21,-13.71,-15.53,-15.39,16.3,16.83,16.94,17.26,18.22,18,228.18,230.64,231.23,232.59,238.47,238.72,2.36,1.32,2.88,13.43,7.26,13.34,1.11,0,0,0,0,0,0,0,27.21349823,1.157087061,0.92235877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.142853634,0,0,0,0,0,0,0,0,0,44.98426842,0,0,0,0,0,24.57993388,0,0,0,0,0,0,0,0
ALFA-ROMEO 693 CK002,0.998262,112.06,105.14,76.76,39.84,24.29,19.78,-6.22,-5.76,-4.66,-3.13,-1.61,-1.29,-4.55,-4.33,-4.59,-4.86,-6.34,-7.63,7.71,7.21,6.54,5.78,6.54,7.74,216.19,216.96,224.6,237.27,255.74,260.43,15.64,16.48,12.45,35.26,27.92,18.47,9.07,0,0,1.915223782,61.09949912,0,0,0,30.26111789,0.269723224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.723191464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.856608392,0,0.74000987,0,3.134626258,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN 0 CK002,0.957157,64.76,60.97,45.76,25.76,17.44,14.24,-0.26,-0.76,-0.91,-1.01,-0.53,-0.45,-4.29,-3.48,-2.43,-1.43,-2.2,-2.86,4.3,3.56,2.59,1.75,2.26,2.89,266.56,257.67,249.48,234.77,256.43,261.13,29.36,20.45,12.79,33.71,21.78,14.63,9.01,0,0,4.867393551,4.846045334,0,0,0,27.70861704,0.216443375,0,0,0,0,0,0,0,0,0,0,0,14.41780868,0,0,0,0,0,0,0,20.65036791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113861559,0.559849359,0,0,0,0,1.592475231,25.02713797,0,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN 0-B CK000,0.967059,79.97,77.21,63.05,38.85,22.36,15.17,-0.4,-0.83,-0.75,-0.51,-0.25,-0.11,-4.09,-3.59,-2.29,-0.86,-0.37,-0.5,4.11,3.69,2.41,1,0.44,0.51,264.45,257.05,251.79,239.45,236.22,257.48,10.03,8.3,7.39,28.35,30.79,25.76,7.26,17.12529147,0,0,0,0,0,0,25.21407136,0,0,0,0,0,0,0,0,0,0,0,10.61904284,23.1283865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.532477372,1.078996868,0,0,0,0,1.339301828,20.96243176,0,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN L0A2 CK001,0.893033,61.78,57.14,46.01,38.6,36.6,35.16,48.14,49.4,51.7,53.76,53.7,52.74,35.63,36.62,40.67,49.03,51.48,50.89,59.89,61.49,65.78,72.76,74.39,73.29,36.51,36.55,38.19,42.37,43.79,43.98,7.32,2.47,1.37,29.89,7.29,1.52,3.41,0,0,0,0,0,0,0,0,0,0,0,0,0,47.15636892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.398158337,23.064903,0,0,0,0,0,7.328445701,14.05212405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LA1U CK001,0.900317,115.54,107.55,82.15,54.05,41.1,37.14,12.72,11.79,8.91,4.59,3.43,4.2,66.86,63.31,54.87,47.08,44.71,45.11,68.06,64.4,55.59,47.3,44.84,45.31,79.22,79.45,80.78,84.43,85.62,84.68,7.67,5.09,3.7,24.28,18.86,7.78,5.32,0,0,0,0,0,21.13038277,9.070603334,0,0,0.131658872,0,0,0,0,0,0,9.674053036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.48149871,0,26.62434966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.887453621,0,0,0,0
AUDI/VOLKS WAGEN LA5E CK002,0.60538,9.32,8.01,7.5,7.23,8.19,7.91,2.09,3.45,3.86,4.09,4.75,4.52,-21.76,-22.61,-22.77,-23.03,-24.29,-23.6,21.86,22.87,23.1,23.39,24.75,24.03,275.48,278.67,279.62,280.07,281.07,280.84,0.83,0.69,1.52,15.04,2.73,5.84,0.87,0,0,0,0,0,0,0,8.73987271,0.479404952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.763609432,0,0,0,0,0,0,0,0,0,0,73.12303433,0,0,0,0,0,7.894078576,0,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LA5R CK000,0.98588,91.2,86.08,66.94,38.86,21.16,14.46,-15.05,-14.19,-11.4,-6.21,-0.67,2.04,-30.44,-29.19,-26.63,-21.62,-20.02,-19.46,33.96,32.46,28.97,22.49,20.03,19.57,243.69,244.08,246.83,253.96,268.08,276,6.45,3.97,4.23,21.89,22.98,19.51,6.99,11.85599096,0,0,0,0,0,27.5444566,6.038592409,0.056435443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.964771481,0,0,0,1.803788635,0,0,0,0,0,0,47.42350059,0,0,0,0,0,0,0,0,0.211185745,0,4.101278133,0,0,0,0,0,22.6,0
AUDI/VOLKS WAGEN LA5R CK001,0.991789,93.82,89.18,70.42,41.8,23.57,16.29,-12.7,-11.83,-9.8,-6.25,-2.66,-0.69,-27.96,-26.39,-24.17,-19.5,-17.38,-16.91,30.71,28.92,26.08,20.48,17.58,16.93,245.57,245.86,247.93,252.23,261.3,267.66,8.34,7.39,6.73,24.96,27.45,23.02,6.7,21.81125969,0,0,0,0,11.40341695,4.887178693,3.025781,0.077458026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.424470168,0,0,0,0.762719376,0,0,0,0,0,0,53.1158991,0,0,0,0,0,0,0,0,0.75885351,2.732963483,0,0,0,0,0,0,0,0
