SampleNo,15L,25L,45L,75L,110L,15a,25a,45a,75a,110a,15b,25b,45b,75b,110b,15Si,45Si,75Si,15Sa,45Sa,75Sa,G,726C,718Y,783S,772S,755C,744S,717C,980,910,135,828,835,831,826,836,838,815,856,892,895,855,851,858,839,896,862,865,891,898,845,832,816,818,233,940,424,356,384,306,318,331,198,154,290,522,322,570,410,550,530,371,482,343,030,960,580,670,632,110,821,190
HONDA R532M CK001,109.9,91.89,60.05,39.42,31.21,8.01,7.89,8.38,11,12.94,-3.37,-3.42,-2.82,-2.71,-2.9,12.31,12.28,10.61,28.56,29.33,24.03,7.02,28.36696888,0,0,26.19155523,0,26.19155523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.150013729,0,0,0,0,0.210581656,0,0.567963023,0,0,0.108878882,0,0,0,0,0,0,0,2.152405419,0,0,0,0,0,7.060077961,0,0,0,0,0,0,0
SUBARU C2P CK003,67.92,48.93,28.51,20.6,17.89,51.74,43.43,34.84,32.07,30.92,2.92,3.76,6.79,9.1,9.57,9.52,5.02,3.2,29.75,22.38,12.01,6.08,0,0,0,4.69892123,0,27.3598478,9.700998667,7.15881732,0.468333843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.571733712,0,0,0,0,0,0,0,0,0,0,0,0,0,11.46896275,0,0,33.57238467,0,0,0,0,0,0,0,0,0,0
TOYOTA 784 CK001,93.5,72.19,41.11,22.88,15.49,-14.61,-12.57,-8.97,-6.94,-5.92,-16.44,-14.54,-11.23,-9.9,-9.33,10.79,7.81,7.6,27.45,29.34,23.1,7.78,32.32529262,0,0,11.99155887,0,0,0,15.96053782,0,0,0,0,0,0,0,0,0,0,0,0,9.88448311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.894519151,0,0,0,0,0,0,0,0,0,0,13.23881266,0,0,0,0,1.288826125,14.41596964,0,0,0,0,0,0
SUBARU T19 CK000,84.82,84.49,84.66,84.96,82.07,-1.17,-1.13,-1.08,-0.97,-0.92,21.56,21.54,21.54,19.85,18.65,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,3.113361627,64.46940372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.33874938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.812068566,0,2.266416707,0,0,0,0
MAZDA 32S CK005,56.58,43.81,24.96,15.68,12.11,2.5,2.19,1.98,2.23,2.22,2.28,0.08,-4,-7.68,-8.53,11.1,7.74,6.37,33.46,29.12,21,7.49,11.09082452,0,0,2.445990213,0,0,0,65.34680755,0,0,0,0,0,4.0384636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.550956423,0,0,4.185929474,0,0,0,0,0,0,0,0,0,0,0,4.31943015,0,0,0,2.021598071,0,0,0,0,0,0,0
SUBARU E7F CK101,109.87,78.71,41.24,24.14,18.68,-7.46,-6.04,-3.75,-1.49,-0.22,-20.73,-18.65,-15.29,-15.87,-17.22,11.41,10.45,8.18,30.01,27.4,20.63,7.63,0,0,0,28.56018488,0,28.56018488,0,7.363821497,0.137641523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.517430372,0,0,0,0,0,0,0,1.628310834,0,0,0,0,0,0,23.73827274,0,0,0,2.862968575,0,0,0,0,0.6311847,0,0,0,0,0,0,0
AUDI/VOLKS WAGEN LY8T CK101,47.58,30.66,14.26,10,8.73,4.18,3.32,1.38,0.34,0.02,20.5,14.37,5.25,0.94,-0.02,30.67,14.42,5.37,30.34,19.83,16.53,9.16,0,0,3.318676828,3.304121228,0,0,0,47.9751578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.355554257,0,0,3.849210757,0,0,0,0,0,0,0,1.160829179,4.619730993,0,0,0,0,0,0,0,0,0,0.738013947,26.67870501,0,0,0,0,0,0
HONDA NH716M CK002,79.71,58.64,28.99,12.55,7.02,1.22,1.08,1,1.37,1.33,-1.58,-1.6,-1.18,-0.84,-0.69,17.32,12.33,9.19,30.7,28.8,22.61,10.13,0,0,6.477700223,0,18.02129421,0,0,60.59497049,0,0,0,1.724486109,0,0,0,0,0,0,0,6.897944435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142996981,0,0,0,0,0,0,0,0,2.168787538,2.982874778,0,0,0,0,0.988945238,0,0,0,0,0,0,0
DAIHATSU T25 CK103,72.33,67.06,62.94,62.23,60.16,2.13,1.88,1.62,1.67,1.55,9.74,10.19,10.63,9.2,8.5,4.2,1.34,0.16,19.78,1.51,0.28,2.99,59.99054975,0,0,0,0,0,0,21.7033341,11.3587543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257152694,0,0,0,4.846790778,0,0,0,0,0,0,0,0,0,1.843418378,0,0,0,0,0,0,0
DAIHATSU S30 CK013,64.85,52.7,32.89,19.83,14.44,-4.82,-4.45,-3.87,-3.21,-2.87,-6.79,-6.71,-6.05,-6.4,-6.87,7.26,5.2,4.31,26.41,26.08,21.52,6.89,8.744429383,0,0,0,0,0,20.38688923,57.65858125,0.273518805,0.221468391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434737256,0,0,0,0,0,0,0,0,0,0,0,0,0,8.050893746,0,0,2.899898623,0,1.32958332,0,0,0,0,0,0,0
