SampleNo,Type,Mean_DeltaE,15L,15a,15b,25L,25a,25b,45L,45a,45b,75L,75a,75b,110L,110a,110b,726C,718Y,783S,772S,755C,744S,717C,980,910,135,828,835,831,826,836,838,815,856,892,895,855,851,858,839,896,862,865,891,898,845,832,816,818,233,940,424,356,384,306,318,331,198,154,290,522,322,570,410,550,530,371,482,343,030,960,580,670,632,110,821,190
KAUDI/VOLKS WAGEN LY3D CK103,REAL,0.0,29.81,59.01,42.32,29.45,58.85,42.33,29.2,58.87,42.2,29.6,58.67,40.51,28.64,57.05,39.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82282053,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,18.47455892,5.983644298,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,74.71897625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
KAUDI/VOLKS WAGEN LY3D CK103,PRED,5.499000072479248,29.3799991607666,54.779998779296875,35.59000015258789,29.280000686645508,55.52000045776367,37.619998931884766,28.829999923706055,55.86000061035156,38.59000015258789,28.700000762939453,55.779998779296875,37.06999969482422,27.520000457763672,54.470001220703125,35.650001525878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82282053,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,18.47455892,5.983644298,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,74.71897625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
KHONDA R82P CK002,REAL,0.0,36.9,59.44,29.1,25.52,47.32,25.83,17.3,36.97,21.72,16.07,34.37,20.2,15.2,33.06,19.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.723093327,0.0,0.0,0,0.0,19.8208339,7.097223047,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,1.055783416,0.0,0.0,21.21391009,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,42.41952346,0.0,2.669632758,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
KHONDA R82P CK002,PRED,3.306999921798706,35.209999084472656,56.400001525878906,25.1200008392334,25.65999984741211,46.959999084472656,22.190000534057617,16.809999465942383,36.369998931884766,19.190000534057617,15.069999694824219,32.72999954223633,18.399999618530273,14.260000228881836,31.459999084472656,17.760000228881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.723093327,0.0,0.0,0,0.0,19.8208339,7.097223047,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,1.055783416,0.0,0.0,21.21391009,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,42.41952346,0.0,2.669632758,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
KSUBARU 235-A CK001,REAL,0.0,61.82,60.94,21.58,44.52,50.73,18.58,23.5,36.95,15.63,15.25,31.21,15.12,12.71,29.19,13.74,0.0,0.0,0.0,0.0,0.0,6.038604269,0.0,3.18073017,0.0,0.0,0,0.0,41.53748309,13.83952984,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.660930944,0.0,0.0,0.0,0.0,0.0,19.68213474,0.0,0,0.0,0.0,0.0,0,14.26503195,0.0,0.0,0.0,0.0,0.0,0.795554993,0.0,0.0,0.0,0.0,0.0,0,0.0
KSUBARU 235-A CK001,PRED,2.681999921798706,61.220001220703125,58.59000015258789,21.139999389648438,43.13999938964844,47.63999938964844,18.65999984741211,23.059999465942383,34.130001068115234,15.770000457763672,15.619999885559082,28.899999618530273,14.59000015258789,13.199999809265137,26.950000762939453,13.529999732971191,0.0,0.0,0.0,0.0,0.0,6.038604269,0.0,3.18073017,0.0,0.0,0,0.0,41.53748309,13.83952984,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.660930944,0.0,0.0,0.0,0.0,0.0,19.68213474,0.0,0,0.0,0.0,0.0,0,14.26503195,0.0,0.0,0.0,0.0,0.0,0.795554993,0.0,0.0,0.0,0.0,0.0,0,0.0
KDAIHATSU R36 CK003,REAL,0.0,47.65,49.29,35.19,37.59,43.07,33.45,22.06,31.61,26.1,12.93,23.47,15.77,9.98,20.44,11.58,0.0,13.97642905,0.0,0.0,0.0,0.0,0.0,0.968579278,0.0,0.0,0,15.37443407,0.0,0.0,0,0.0,0,0.0,0.0,10.19928075,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,17.31763366,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.12920567,0.0,0,8.487550373,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.54688715,0.0,0.0,0.0,0.0,0.0,0,0.0
KDAIHATSU R36 CK003,PRED,7.052999973297119,53.84000015258789,49.959999084472656,34.709999084472656,39.650001525878906,42.880001068115234,30.549999237060547,24.030000686645508,33.7400016784668,24.8799991607666,17.81999969482422,30.09000015258789,21.299999237060547,15.600000381469727,28.520000457763672,19.110000610351562,0.0,13.97642905,0.0,0.0,0.0,0.0,0.0,0.968579278,0.0,0.0,0,15.37443407,0.0,0.0,0,0.0,0,0.0,0.0,10.19928075,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,17.31763366,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.12920567,0.0,0,8.487550373,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.54688715,0.0,0.0,0.0,0.0,0.0,0,0.0
SROVER FUN CK001,REAL,0.0,74.19,20.78,85.43,73.75,21.01,86.03,73.67,21.31,86.54,73.87,20.92,83.81,71.49,19.94,80.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.959641256,3.076233184,26.81350567,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,69.15061989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
SROVER FUN CK001,PRED,4.710999965667725,81.55999755859375,20.709999084472656,82.5199966430664,78.37999725341797,20.780000686645508,82.30000305175781,74.95999908447266,20.920000076293945,82.33999633789062,73.37000274658203,20.6200008392334,80.93000030517578,70.66999816894531,20.1299991607666,78.69999694824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.959641256,3.076233184,26.81350567,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,69.15061989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
