Pigment_Count,Delta_E,Recipe
17,87.3439,"718Y:%7.0, 910:%5.0, 831:%2.1, 815:%1.2, 839:%9.0, 862:%0.6, 845:%16.0, 832:%0.8, 816:%1.3, 940:%1.4, 424:%1.1, 198:%1.4, 154:%0.9, 290:%8.7, 030:%32.1, 670:%4.1, 110:%7.5"
26,76.7498,"910:%3.7, 135:%1.9, 831:%3.2, 826:%0.8, 815:%1.1, 895:%6.0, 855:%0.8, 858:%0.7, 839:%6.4, 896:%0.9, 862:%1.0, 865:%0.6, 845:%11.9, 832:%0.8, 816:%0.7, 233:%1.4, 940:%1.2, 424:%1.2, 306:%0.5, 318:%0.9, 154:%8.4, 290:%12.2, 030:%23.3, 670:%3.8, 110:%5.8, 821:%0.8"
27,75.8313,"726C:%0.6, 783S:%0.9, 772S:%4.6, 744S:%0.8, 910:%3.0, 135:%2.0, 831:%1.8, 826:%1.2, 838:%0.7, 815:%1.9, 895:%5.4, 839:%5.2, 862:%0.5, 891:%0.6, 898:%3.3, 845:%9.6, 832:%0.8, 816:%0.6, 424:%0.9, 384:%0.9, 198:%1.3, 154:%21.1, 290:%5.7, 322:%1.6, 030:%18.0, 670:%2.6, 110:%4.4"
29,75.3673,"726C:%2.4, 718Y:%1.9, 772S:%3.6, 744S:%1.9, 910:%2.1, 135:%15.9, 835:%1.7, 826:%3.2, 838:%0.5, 815:%6.2, 892:%0.9, 855:%2.5, 851:%2.1, 858:%2.6, 896:%4.7, 862:%1.1, 865:%8.2, 845:%2.0, 832:%12.7, 816:%2.4, 818:%1.9, 233:%2.0, 198:%1.5, 154:%0.6, 670:%1.3, 632:%4.6, 110:%8.0, 821:%0.7, 190:%0.8"
30,75.1331,"726C:%2.1, 772S:%2.1, 755C:%0.8, 744S:%1.5, 717C:%0.5, 910:%3.6, 135:%6.8, 828:%1.8, 831:%1.3, 826:%2.0, 815:%4.3, 855:%0.6, 858:%8.7, 839:%2.1, 862:%5.0, 891:%5.2, 233:%4.0, 940:%0.9, 424:%1.8, 331:%3.0, 198:%1.3, 290:%0.7, 322:%0.8, 550:%1.2, 371:%0.7, 030:%20.5, 580:%0.5, 670:%1.0, 110:%11.2, 190:%3.9"
31,74.886,"718Y:%1.5, 772S:%3.5, 755C:%0.7, 744S:%2.1, 717C:%9.2, 910:%14.5, 135:%7.9, 835:%0.7, 831:%0.9, 836:%1.6, 838:%0.8, 815:%2.7, 856:%0.5, 892:%1.8, 895:%1.0, 851:%2.2, 858:%4.3, 865:%6.3, 898:%1.0, 845:%1.5, 832:%0.6, 816:%2.9, 940:%4.3, 331:%0.5, 198:%1.5, 154:%2.5, 322:%0.6, 030:%7.0, 670:%2.1, 110:%12.3, 821:%0.8"
32,74.3265,"726C:%0.6, 718Y:%1.1, 783S:%3.6, 772S:%2.5, 755C:%7.4, 717C:%2.3, 135:%24.0, 828:%0.9, 831:%2.1, 826:%0.9, 838:%1.1, 815:%2.4, 856:%1.4, 855:%0.6, 851:%1.6, 858:%2.8, 896:%5.3, 865:%1.5, 891:%8.4, 845:%0.9, 818:%1.2, 233:%7.9, 940:%3.2, 424:%0.5, 154:%3.0, 290:%1.3, 522:%0.9, 030:%0.7, 960:%1.0, 670:%2.8, 632:%2.8, 110:%3.2"
33,68.6783,"726C:%1.5, 783S:%6.4, 772S:%0.8, 744S:%1.2, 717C:%0.5, 910:%2.5, 135:%9.1, 828:%3.9, 831:%4.7, 826:%0.7, 838:%3.2, 815:%2.2, 856:%3.4, 892:%4.6, 855:%2.5, 851:%2.8, 858:%3.0, 896:%2.0, 862:%0.9, 865:%4.0, 898:%2.9, 845:%2.8, 832:%2.0, 816:%1.8, 233:%8.5, 331:%1.0, 198:%2.8, 154:%2.2, 290:%1.2, 570:%0.5, 670:%3.2, 110:%4.5, 190:%6.8"
35,67.949,"718Y:%12.5, 783S:%2.6, 755C:%1.8, 744S:%2.3, 717C:%2.0, 910:%6.0, 135:%12.6, 831:%3.9, 826:%0.7, 836:%0.6, 838:%0.6, 815:%1.9, 856:%0.7, 892:%1.4, 895:%1.6, 851:%1.8, 858:%1.6, 896:%1.7, 865:%6.9, 891:%0.9, 898:%2.0, 845:%1.0, 816:%1.5, 818:%2.9, 233:%4.5, 940:%0.9, 318:%0.7, 198:%2.5, 154:%3.4, 570:%0.7, 343:%2.0, 030:%8.4, 110:%3.3, 821:%0.8, 190:%0.9"
41,67.6871,"726C:%4.3, 718Y:%1.1, 772S:%1.8, 755C:%0.8, 717C:%0.6, 980:%0.9, 910:%0.8, 135:%27.4, 828:%2.2, 835:%1.0, 831:%3.3, 826:%2.7, 836:%1.0, 838:%1.5, 815:%0.9, 892:%0.6, 858:%5.2, 896:%7.4, 865:%0.5, 891:%4.1, 898:%3.8, 832:%0.5, 816:%3.3, 818:%0.5, 233:%1.0, 940:%1.1, 384:%0.7, 306:%1.6, 331:%0.6, 198:%2.6, 290:%3.2, 522:%1.4, 322:%0.9, 570:%0.8, 371:%0.6, 030:%0.5, 960:%0.6, 580:%0.5, 670:%0.6, 110:%5.7, 821:%1.5"
44,53.2501,"718Y:%0.6, 783S:%0.7, 772S:%1.0, 755C:%3.6, 744S:%1.1, 717C:%1.2, 910:%0.6, 135:%2.5, 835:%5.7, 831:%2.1, 826:%4.2, 838:%0.5, 815:%3.1, 856:%0.9, 892:%1.5, 895:%2.0, 855:%0.9, 851:%0.9, 858:%0.6, 839:%2.2, 865:%0.7, 891:%1.2, 898:%2.6, 845:%1.2, 832:%3.7, 816:%1.2, 818:%2.5, 233:%1.4, 940:%1.9, 424:%0.6, 306:%0.9, 318:%1.0, 198:%25.0, 154:%1.2, 290:%6.9, 322:%2.2, 570:%0.9, 530:%0.9, 030:%1.0, 960:%0.7, 670:%2.8, 110:%1.3, 821:%0.8, 190:%1.2"
47,43.6457,"718Y:%4.4, 783S:%0.9, 772S:%0.8, 744S:%0.7, 717C:%1.5, 980:%0.8, 910:%1.5, 135:%1.1, 828:%1.0, 831:%2.7, 836:%2.8, 838:%1.1, 856:%4.3, 892:%1.8, 895:%2.1, 855:%0.7, 839:%3.4, 896:%4.8, 862:%8.4, 865:%2.4, 891:%0.6, 898:%0.8, 816:%1.0, 818:%0.7, 233:%2.5, 940:%2.3, 424:%1.8, 356:%0.9, 306:%14.8, 318:%1.5, 331:%3.1, 198:%0.8, 154:%1.1, 290:%5.2, 322:%1.4, 570:%1.3, 410:%0.8, 550:%1.6, 530:%0.7, 371:%0.8, 343:%1.3, 030:%1.4, 960:%2.7, 670:%1.6, 110:%0.7, 821:%0.5, 190:%0.9"
49,43.3373,"726C:%1.4, 718Y:%1.7, 783S:%2.5, 755C:%0.6, 744S:%1.6, 980:%1.2, 910:%0.7, 135:%14.4, 828:%1.0, 835:%0.6, 831:%1.3, 826:%1.3, 836:%0.6, 838:%2.2, 815:%0.7, 856:%1.1, 895:%3.3, 855:%1.6, 858:%0.6, 896:%11.7, 862:%2.4, 865:%0.7, 891:%1.9, 898:%2.1, 845:%2.6, 832:%0.7, 816:%1.1, 818:%0.9, 233:%1.3, 940:%8.0, 424:%1.1, 356:%1.4, 306:%0.7, 318:%0.7, 331:%1.5, 198:%2.7, 154:%0.6, 290:%1.9, 322:%1.5, 570:%0.9, 410:%0.5, 550:%1.7, 530:%1.1, 030:%2.2, 960:%0.5, 670:%5.0, 110:%1.5, 821:%0.8, 190:%1.8"
50,41.5545,"726C:%1.0, 772S:%3.1, 755C:%1.8, 744S:%1.1, 717C:%0.7, 980:%0.6, 910:%1.0, 135:%11.8, 828:%5.7, 835:%1.3, 831:%1.3, 826:%0.9, 836:%0.5, 838:%3.8, 815:%6.1, 856:%3.6, 892:%1.4, 855:%1.5, 851:%0.7, 858:%1.1, 839:%1.3, 896:%0.8, 862:%1.7, 865:%0.7, 891:%2.5, 898:%13.4, 845:%1.5, 832:%0.7, 816:%0.7, 818:%0.9, 233:%0.8, 940:%0.8, 424:%0.8, 356:%1.1, 306:%1.3, 331:%3.8, 198:%1.4, 154:%1.2, 290:%0.6, 322:%0.9, 570:%1.3, 410:%0.6, 550:%2.2, 482:%0.7, 343:%0.8, 030:%2.1, 960:%1.3, 580:%0.8, 821:%2.1, 190:%2.2"
